"الربع","الجنس","العمر","معدل البطالة"
"2024-Q4","إناث","سن العمل الأساسي (35 - 44)","%9.1"
"2025-Q1","ذكور","سن العمل الأساسي (35 - 44)","%1.8"
"2025-Q1","إناث","سن العمل الأساسي (35 - 44)","%6.9"
"2025-Q2","ذكور","سن العمل الأساسي (35 - 44)","%2.4"
"2025-Q2","إناث","سن العمل الأساسي (35 - 44)","%7.7"
"2025-Q3","ذكور","سن العمل الأساسي (35 - 44)","%2.5"
"2025-Q3","إناث","سن العمل الأساسي (35 - 44)","%7.9"
"2016-Q2","ذكور","سن العمل الأساسي (45 - 54)","%0.2"
"2016-Q2","إناث","سن العمل الأساسي (45 - 54)","%4.5"
"2016-Q3","ذكور","سن العمل الأساسي (45 - 54)","%0.7"
"2016-Q3","إناث","سن العمل الأساسي (45 - 54)","%0.9"
"2016-Q4","ذكور","سن العمل الأساسي (45 - 54)","%0.4"
"2016-Q4","إناث","سن العمل الأساسي (45 - 54)","%1.7"
"2017-Q1","ذكور","سن العمل الأساسي (45 - 54)","%0.5"
"2017-Q1","إناث","سن العمل الأساسي (45 - 54)","%4.0"
"2017-Q2","ذكور","سن العمل الأساسي (45 - 54)","%1.2"
"2017-Q2","إناث","سن العمل الأساسي (45 - 54)","%2.7"
"2017-Q3","ذكور","سن العمل الأساسي (45 - 54)","%0.6"
"2017-Q3","إناث","سن العمل الأساسي (45 - 54)","%0.4"
"2017-Q4","ذكور","سن العمل الأساسي (45 - 54)","%0.9"
"2017-Q4","إناث","سن العمل الأساسي (45 - 54)","%1.7"
"2018-Q1","ذكور","سن العمل الأساسي (45 - 54)","%1.2"
"2018-Q1","إناث","سن العمل الأساسي (45 - 54)","%4.0"
"2018-Q2","ذكور","سن العمل الأساسي (45 - 54)","%0.6"
"2018-Q2","إناث","سن العمل الأساسي (45 - 54)","%0.1"
"2018-Q3","ذكور","سن العمل الأساسي (45 - 54)","%1.1"
"2018-Q3","إناث","سن العمل الأساسي (45 - 54)","%2.4"
"2018-Q4","ذكور","سن العمل الأساسي (45 - 54)","%0.9"
"2018-Q4","إناث","سن العمل الأساسي (45 - 54)","%1.2"
"2019-Q1","ذكور","سن العمل الأساسي (45 - 54)","%1.2"
"2019-Q1","إناث","سن العمل الأساسي (45 - 54)","%3.4"
"2019-Q2","ذكور","سن العمل الأساسي (45 - 54)","%0.6"
"2019-Q2","إناث","سن العمل الأساسي (45 - 54)","%3.6"
"2019-Q3","ذكور","سن العمل الأساسي (45 - 54)","%0.6"
"2019-Q3","إناث","سن العمل الأساسي (45 - 54)","%3.8"
"2019-Q4","ذكور","سن العمل الأساسي (45 - 54)","%0.4"
"2019-Q4","إناث","سن العمل الأساسي (45 - 54)","%3.5"
"2020-Q1","ذكور","سن العمل الأساسي (45 - 54)","%0.8"
"2020-Q1","إناث","سن العمل الأساسي (45 - 54)","%4.6"
"2020-Q2","ذكور","سن العمل الأساسي (45 - 54)","%1.2"
"2020-Q2","إناث","سن العمل الأساسي (45 - 54)","%3.4"
